Player,Position,NeedsScreenshotReason,FoundInDownloads0925_0929,Note
Lopez,C,no_wiki_page_in_source,YES,
Olajuwon,C,no_wiki_page_in_source,YES,
Porzingis,C,no_wiki_page_in_source,YES,
Wallace,C,no_wiki_page_in_source,YES,
Jackson Jr.,PF,no_wiki_page_in_source,YES,
Malone,PF,no_wiki_page_in_source,YES,
Nowitzki,PF,no_wiki_page_in_source,YES,
Rodman,PF,no_wiki_page_in_source,YES,
Siakam,PF,no_wiki_page_in_source,YES,
Tatum,PF,no_wiki_page_in_source,YES,
Towns,PF,added_from_roster_missing_stats,YES,
Brooks,SF,no_wiki_page_in_source,YES,
Ingram,SF,no_wiki_page_in_source,YES,
James '16,SF,no_wiki_page_in_source,YES,
Leonard,SF,no_wiki_page_in_source,YES,
LaVine,SG,no_wiki_page_in_source,YES,
McCollum,SG,no_wiki_page_in_source,YES,
Wade,SG,no_wiki_page_in_source,NO,not present in provided screenshots
Ball,PG,added_from_roster_missing_stats,YES,
Kidd,PG,no_wiki_page_in_source,YES,
